ability_1,ability_2,win_rate
Kunkka,Tidebringer,52.57
Lucent Beam,Eclipse,46.97
Shadow Fiend,Requiem of Souls,57.46
Berserker's Call,Counter Helix,55.88
Sacred Arrow,Starstorm,51.41
Lightning Bolt,Thundergod's Wrath,51.11
Axe,Counter Helix,51.79
Axe,Berserker's Call,52.19
Tidehunter,Anchor Smash,57.3
Shadow Shaman,Shackles,51.24
Zeus,Lightning Bolt,49.76
Ancient Apparition,Chilling Touch,48.37
Juggernaut,Omnislash,50.59
Drow Ranger,Multishot,53.95
Slardar,Slithereen Crush,53.11
Earthshaker,Aftershock,56.17
Shadow Fiend,Presence of the Dark Lord,63.91
Lina,Dragon Slave,49.25
Pudge,Rot,52.02
Storm Spirit,Ball Lightning,53.2
Primal Beast,Trample,52.54
Necrophos,Death Pulse,47.79
Sniper,Headshot,58.59
Witch Doctor,Death Ward,49.76
Aftershock,Echo Slam,53.21
Bristleback,Quill Spray,47.09
Ether Shock,Shackles,50.89
Luna,Moon Glaives,61.55
Lion,Earth Spike,57.38
Drow Ranger,Marksmanship,55.83
Primal Beast,Uproar,53.87
Zeus,Thundergod's Wrath,48.46
Gyrocopter,Flak Cannon,59.4
Lion,Finger of Death,44.69
Mana Break,Mana Void,46.19
Tinker,Rearm,44.34
Rocket Barrage,Homing Missile,52.76
Sand King,Burrowstrike,47.38
Overload,Ball Lightning,53.32
Dazzle,Poison Touch,49.01
Phantom Rush,Juxtapose,47.9
Drow Ranger,Frost Arrows,54.17
Enigma,Black Hole,49.81
Centaur Warrunner,Double Edge,51.41
Enchantress,Impetus,50.62
Lich,Chain Frost,53.45
Alchemist,Acid Spray,49.28
Doppelganger,Juxtapose,54.06
Spirit Breaker,Charge of Darkness,53.45
Warlock,Fatal Bonds,51.58
Witch Doctor,Paralyzing Cask,52.4
Largo,Catchy Lick,53.81
Shadow Strike,Scream Of Pain,47.24
Batrider,Sticky Napalm,52.2
Morphling,Adaptive Strike,49.08
Venomancer,Poison Sting,48.34
Cold Feet,Ice Blast,55.16
Silencer,Arcane Curse,48.92
Ogre Magi,Fireblast,52.02
Warlock,Chaotic Offering,55.49
Skywrath Mage,Arcane Bolt,49.74
Pugna,Nether Blast,49.29
Dark Seer,Ion Shell,51.7
Clockwerk,Battery Assault,53.7
Magnus,Skewer,50.83
Death Prophet,Crypt Swarm,53.69
Outworld Devourer,Arcane Orb,55.77
Wyrm's Wrath,Elder Dragon Form,49.06
Riki,Blink Strike,45.76
Mirana,Leap,52.51
Quill Spray,Bristleback,50.99
