Rank,Ability,Hero,Win Rate,Pick Rate,Avg Pick,Value,Picks,Wins
#1,Forge Spirit (AD),Invoker,66.00%,66.60%,21.7,15.80%,4606,3042
,Forge Spirit (AD),,,,,,,
#2,Arctic Burn,Winter Wyvern,58.50%,99.50%,3.9,6.30%,22708,13283
,Arctic Burn,,,,,,,
#3,Shadow FiendShadow Fiend,Shadow Fiend,58.30%,99.40%,5.2,6.30%,23114,13473
#4,Dispersion,Spectre,57.90%,99.30%,10,6.40%,22635,13107
,Dispersion,,,,,,,
#5,Shukuchi,Weaver,57.90%,99.30%,3.3,5.70%,22656,13117
,Shukuchi,,,,,,,
#6,Atrophy Aura,Underlord,57.40%,99.30%,5,5.40%,22898,13151
,Atrophy Aura,,,,,,,
#7,Dragon KnightDragon Knight,Dragon Knight,57.40%,95.20%,22.1,7.20%,21808,12521
#8,SniperSniper,Sniper,57.40%,99.30%,4.7,5.30%,22488,12911
#9,Shadow Dance,Slark,57.00%,99.20%,13.4,5.80%,23855,13589
,Shadow Dance,,,,,,,
#10,LeshracLeshrac,Leshrac,56.30%,98.00%,23.8,6.30%,22327,12577
#11,LunaLuna,Luna,56.30%,94.50%,25.4,6.50%,21337,12018
#12,Drow RangerDrow Ranger,Drow Ranger,56.00%,99.00%,10.2,4.50%,22852,12803
#13,Borrowed Time,Abaddon,56.00%,99.30%,14.2,4.90%,23761,13303
,Borrowed Time,,,,,,,
#14,Earth Spike,Lion,55.90%,99.40%,12.2,4.60%,22672,12674
,Earth Spike,,,,,,,
#15,Vengeance Aura,Vengeful Spirit,55.90%,99.40%,5.8,3.90%,22876,12784
,Vengeance Aura,,,,,,,
#16,Avalanche,Tiny,55.80%,99.30%,14,4.70%,22757,12703
,Avalanche,,,,,,,
#17,TuskTusk,Tusk,55.50%,89.50%,33.1,6.40%,20242,11230
#18,Empower,Magnus,55.40%,99.20%,10.7,4.00%,22551,12497
,Empower,,,,,,,
#19,MedusaMedusa,Medusa,55.40%,96.60%,17.3,4.70%,22321,12362
#20,Reincarnation,Wraith King,55.30%,99.10%,17.3,4.60%,23832,13176
,Reincarnation,,,,,,,
#21,Natural Order,Elder Titan,55.30%,96.20%,22.9,5.10%,21993,12156
,Natural Order,,,,,,,
#22,Windrun,Windranger,55.30%,99.50%,6,3.30%,22611,12495
,Windrun,,,,,,,
#23,Astral Step,Void Spirit,55.20%,99.10%,8.4,3.50%,23751,13108
,Astral Step,,,,,,,
#24,Flak Cannon,Gyrocopter,55.10%,99.40%,5.8,3.10%,22746,12531
,Flak Cannon,,,,,,,
#25,Aftershock,Earthshaker,55.00%,98.10%,6.8,3.10%,22178,12191
,Aftershock,,,,,,,
